tbch;normalized;name;hash;flag
;Kharkiv National University of Civil Engineering And Architecture, Kharkiv, Ukraine;Department of Computer Science and Information Technologies, Kharkiv National University of Civil Engineering and Architecture, Kharkiv, Ukraine;-2,43E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Civil Engineering And Architecture, Kharkiv, Ukraine;Department of Reinforced Concrete and Stone Structures, Kharkiv National University of Civil Engineering and Architecture, Sumska St. 40, Kharkiv, 61002, Ukraine;-1,49E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Civil Engineering And Architecture, Kharkiv, Ukraine;Kharkiv National University of Civil Engineering And Architecture, Kharkiv, Ukraine;-4,66E+18;originally correct
;Kharkiv National University of Civil Engineering And Architecture, Kharkiv, Ukraine;Kharkiv National University of Civil Engineering and Architecture, Sumska street 40, Kharkiv, 61002, Ukraine;-8,14E+18;originally correct
;Kharkiv National University of Economics named after Semen Kuznets, Kharkiv, Ukraine;Department of Accounting Business Consulting, Kharkiv National University of Economics named after Semen Kuznets, Kharkiv, Ukraine;1, 59E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;Kharkiv National University of Internal Affairs, 27, Lev Landau Ave., Kharkiv, 61000, Ukraine;2, 64E+18;originally correct
;Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;Department of the Criminal Procedure and Pre-trial Investigation Organization, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;-1,83E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;Information Technologies Department, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;-8,03E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;Department of Social and Economic Disciplines, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;8, 73E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;Kharkiv National University of Internal Affairs, Kharkiv, Ukraine;8, 48E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv Nat. Univ. of Radio-Electronics, Science ave., 14, Kharkiv, 61166, Ukraine;-3,75E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio and Electronics, Kharkiv, 61166, Lenina str., 14, Ukraine;-1,01E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Eelectronics, Nauky Ave., 14, Kharkiv, 61166, Ukraine;4, 35E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electonics, Department of Electronic Computers, Kharkiv, Ukraine;-7,99E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronic, Department of Computer-Integrated Technologies, Automation and Mechatronic, Kharkiv, Ukraine;1, 31E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Informatics department, Kharkiv National University of Radio Electronic, Nauky Ave. 14, Kharkiv, 61166, Ukraine;5, 17E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;6, 36E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics (NURE), Information and Networks Engineering Dept., Kharkiv, Ukraine;-3,07E+16;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics (NURE), Software Engineering Department, Kharkiv, Ukraine;2, 25E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics Kharkiv, Ukraine IT Step University, Kyiv, Ukraine;-5,26E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics Kharkov, Kharkov, Ukraine;-2,79E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics Media, Systems and Technologies Department, Kharkiv, Ukraine;5, 74E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics(NURE), Information and Networks Engineering Dept., Kharkiv, Ukraine;-5,54E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 ave. Nauki, Kharkiv, 61166, Ukraine;-1,94E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 ave.Nauki, Kharkiv, Ukraine;4, 05E+16;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Lenin Ave, Kharkiv, 61166, Ukraine;-6,75E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Lenin Ave, Kharkiv, UA-61166, Ukraine;5, 21E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauka Ave, Kharkiv, 61166, Ukraine;1, 56E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Technical Sciences, Kharkiv National University of Radio Electronics, 14 Nauka Ave, Kharkiv, 61166, Ukraine;-5,68E+18;first neither uni nor dep
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauka ave, Kharkiv, Ukraine;-6,11E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauka Ave., Kharkiv, 61166, Ukraine;-2,44E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauki ave, Kharkiv, 61166, Ukraine;3, 72E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauki Ave, Kharkiv, UA-61166, Ukraine;6, 61E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauki Ave., Kharkiv, 61166, Ukraine;-4,82E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauki ave., Kharkiv, 61166, Ukraine;2, 16E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauki Avenue, Kharkiv, 61166, Ukraine;4, 56E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauki avenue, Kharkiv, Ukraine;1, 07E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky av, Kharkiv, 61166, Ukraine;-8,28E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky av., Kharkiv, 61166, Ukraine;-1,63E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Ave, Kharkiv, 61166, Ukraine;3, 23E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Ave, Kharkiv, Ukraine;6, 91E+16;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Ave., Kharkiv, 61166, Ukraine;-8,96E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky ave., Kharkiv, 61166, Ukraine;5, 49E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Ave., Kharkiv, Ukraine;-6,01E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky ave., Kharkiv, Ukraine;9, 03E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Avenue, Kharkiv, 61116, Ukraine;1, 75E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Avenue, Kharkiv, 61166, Ukraine;9, 13E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14 Nauky Avenue, Kharkiv, Ukraine;3, 68E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14, Nauka Ave., Kharkiv, 61166, Ukraine;-2,55E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14, Nauky Ave., Kharkiv, 61166, Ukraine;5, 22E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, 14, Nauky, Ave., Kharkiv, 61166, Ukraine;-1,64E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Applied Mathematics Dept., Kharkiv, Ukraine;-2,27E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Artificial Intelligence Department, Kharkiv, Ukraine;-8,84E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Artificial Intelligence department, Kharkiv, Ukraine;9, 68E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Artificial Intelligence Department, Nauky av., 14, Kharkiv, 61166, Ukraine;-2,32E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Artificial Intelligence Dept., Kharkiv, Ukraine;-4,47E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Automation and Mechatronics, Department of Computer-Integrated Technologies, Kharkiv, Ukraine;-3,44E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Biomedical Engineering Department, Kharkiv, Ukraine;4, 09E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Computer-Integrated Technologies Automation and Mechatronics (CITAM), Kharkiv, Ukraine;-7,56E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Control Systems Reasearch Laboratory, Kharkiv, Ukraine;-1,93E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Control Systems Research Laboratory, Kharkiv, Ukraine;-3,61E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Control Systems Research Laboratory, Lenin av. 14, Kharkiv, 61166, Ukraine;-5,88E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Control Systems Research Laboratory, Nauky av., 14, Kharkiv, 61166, Ukraine;7, 55E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Applied Mathematics, Kharkiv, Ukraine;-2,78E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Artificial Intelligence, Kharkiv, Ukraine;3, 70E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Biomedical Engineering, Kharkiv, Ukraine;-8,56E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv, Ukraine;-1,46E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies, Automation and Mechatronics, Kharkiv, Ukraine;1, 65E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Electronic Computers, Kharkiv, Ukraine;-3,73E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Electronic Computers, Nauka Ave, 14, Kharkiv, Ukraine;2, 92E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Electronic Computers, Nauky Ave., 14, Ukraine;-3,58E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Infocommunication Engineering, Kharkiv, Ukraine;-1,45E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Informatics, Kharkiv, 61166, Ukraine;-3,64E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Informatics, Kharkiv, Ukraine;9, 25E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Informatics, Nauky av., 14, Kharkiv, 61166, Ukraine;7, 18E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Information and Network Engineering, Kharkiv, Ukraine;4, 72E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Media Engineering and Information Radio Electronic Systems, Kharkiv, Ukraine;2, 62E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Media System Technology, Kharkiv, Ukraine;-1,91E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Kharkiv, Ukraine;-7,56E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of media systems and technologies, Kharkiv, Ukraine;8, 31E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Media Systems and Technologies, Nauky av., 14, Kharkiv, 61166, Ukraine;-3,11E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Metrology and Technical Expertise, Kharkiv, Ukraine;8, 64E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Software Engineering, Kharkiv, Ukraine;-7,37E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of System Engineering, Kharkiv, Ukraine;2, 58E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of Systems Engineering, Kharkiv, Ukraine;-5,09E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Department of V.V.Popovskyy Infocommunication Engineering, Kharkiv, Ukraine;7, 68E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Dept. of Infocommunication Engineering, Kharkiv, Ukraine;3, 56E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Dept. of Information And Network Engineering, Kharkiv, Ukraine;5, 55E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Dept. of Physics, Kharkiv, Ukraine;7, 62E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Dept. of Software Engineering, Kharkiv, Ukraine;-3,16E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Design Automation Department, Kharkiv, Ukraine;7, 17E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Faculty of Biomedical Engineering, Kharkiv, Ukraine;-2,26E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Faculty of Computer Science, Kharkiv, Ukraine;-2,38E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, GeoGuard, Kharkiv, Ukraine;4, 78E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Informatics Department, Lenin ave., 14, Kharkiv, 61166, Ukraine;6, 94E+17;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Information and Network Engineering Department, Kharkiv, Ukraine;-4,05E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Kharkiv National University of Radio Electronics, Information Control System Department, Kharkiv, Ukraine;-6,60E+18;originally correct
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Informatics, Kharkiv National University of Radio Electronics, 14 Nauka Ave., Kharkiv, 61166, Ukraine;8, 41E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Informatics, Kharkiv National University of Radio Electronics, 14 Nauky Ave, Kharkiv, 61166, Ukraine;-2,49E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Informatics Department, Kharkiv National University of Radio Electronics, 14, Nauky Ave., Kharkiv, 61166, Ukraine;3, 88E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Computer Science Faculty, Kharkiv National University of Radio Electronics, Kharkiv 61166, pr. Lenina 14, Ukraine;4, 54E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Systems Engineering, Kharkiv National University of Radio Electronics, Kharkiv Oblast, 61000, Ukraine;6, 21E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Applied mathematics, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;-1,92E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Systems Engineering, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;-6,96E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Systems Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;1, 57E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Artificial Intelligence, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;-8,31E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Artificial Intelligence Department, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;-5,06E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Applied Mathematics Department, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;-3,54E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Informatics, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;-3,40E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine;6, 26E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Systems Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-6,95E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Biomedical Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-1,94E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Software engineering department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;8, 76E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-6,04E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Media Systems and Technologies, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;2, 52E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Informatics, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-3,22E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;V.V. Popovskyy Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-1,85E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Software Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-8,84E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Artificial intelligence department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;3, 59E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Informatics Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-1,27E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Information Control Systems Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;8, 66E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Metrology and Technical Expertise, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;2, 69E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Metrology and Technical Expertise Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-5,48E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of System Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;6, 05E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Media Systems and Technologies Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-2,02E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Software Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;7, 32E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Informatics (INF), Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;6, 79E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Artificial Intelligence Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-2,86E+16;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Information and Network Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-4,85E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Information and Communication Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;3, 83E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Radio Electronic Systems, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;2, 87E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Artificial Intelligence department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-6,71E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Biomedical Engineering, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-5,59E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Electronic Computers, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine;-8,02E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;System Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine, Ukraine;-3,95E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Infocommunication Engineering, Kharkiv National University of Radio Electronics, Nauki av.14, Kharkov, 61000, Ukraine;2, 72E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Media Systems and Technologies, Kharkiv National University of Radio Electronics, Nauki Ave., 14, Kharkiv, 61166, Ukraine;2, 46E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Systems Engineering, Kharkiv National University of Radio Electronics, Nauki Ave., 14, Kharkiv, 61166, Ukraine;1, 75E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Electronic Computers, Kharkiv National University of Radio Electronics, Nauki ave., 14, Kharkiv, 61166, Ukraine;-1,79E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Artificial Intelligence, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine;6, 59E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Informatics, Kharkiv National University of Radio Electronics, Nauky Ave. 14, Kharkiv, 61166, Ukraine;6, 04E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Information and Network Engineering, Kharkiv National University of Radio Electronics, Nauky ave. 14, Kharkiv, 61166, Ukraine;-5,04E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Information Technology Security, Kharkiv National University of Radio Electronics, Nauky ave. 14, Kharkiv, 61166, Ukraine;7, 25E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Electronic Computers, Kharkiv National University of Radio Electronics, Nauky ave., 14, Kharkiv, 61166, Ukraine;1, 43E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Biomedical Engineering, Kharkiv National University of Radio Electronics, Nauky ave., 14, Kharkiv, 61166, Ukraine;9, 86E+17;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Design Automation, Kharkiv National University of Radio Electronics, Nauky ave., 14, Kharkiv, 61166, Ukraine;-1,52E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Media Systems and Technologies, Kharkiv National University of Radio Electronics, Nauky ave., 14, Kharkiv, 61166, Ukraine;-8,21E+18;changed 1st dep by 2nd uni
;Kharkiv National University of Radio Electronic, Kharkiv, Ukraine;Department of Systems Engineering, Kharkiv National University of Radio Electronics, Nauky ave., 14, Kharkiv, 61166, Ukraine;7, 38E+18;changed 1st dep by 2nd uni
