tbch;normalized;name;hash;flag
;Zaycev V.T. Institute of general and urgent surgery National Academy of Medical Sciences of Ukraine, Kharkiv, Ukraine;"SI ""Zaycev V.T. Institute of general and urgent surgery National Academy of Medical Sciences of Ukraine"", Kharkiv, Ukraine";2, 41422E+18;both 1st uni and dep
;Zhukovskii National Aerospace University, Zhukovskii National Aerospace University, ul. Chkalova 17, Kharkiv, 61070, Ukraine;Kharkiv Aviation Institute, Zhukovskii National Aerospace University, ul. Chkalova 17, Kharkiv, 61070, Ukraine;4, 63E+18;changed 1st dep by 2nd uni
;Zhytomir State University, Ukraine;Zhytomir State University, Ukraine;-7,78E+18;originally correct
;Zhytomyr Institute of Economics and Humanities, Zhytomyr, Ukraine;Dept of Social Rehabilitation Technologies, Zhytomyr Institute of Economics and Humanities, Zhytomyr, Ukraine;-3,02E+18;first neither uni nor dep
;Zhytomyr Institute of Interregional Academy of Personnel Management, Zhytomyr, Ukraine;Zhytomyr Institute of Interregional Academy of Personnel Management, Zhytomyr, Ukraine;4, 83695E+18;both 1st uni and dep
;Zhytomyr Ivan Franko State University, Ukraine;Zhytomyr Ivan Franko State University, Ukraine;-7,65E+17;originally correct
;Zhytomyr Ivan Franko State University, Ukraine;Zhytomyr Ivan Franko State University, Velyka Berdychivska str. 40, Zhytomyr, 10008, Ukraine;-4,06E+17;originally correct
;Zhytomyr Ivan Franko State University, Zhytomyr, Ukraine;Doctor of Sciences (Philosophy), The Department of Philosophy and Political Science, Zhytomyr Ivan Franko State University, Zhytomyr, Ukraine;6, 33E+18;first neither uni nor dep
;Zhytomyr National Agroecological University, 7, Stary Blvd, Zhytomyr, 10008, Ukraine;Zhytomyr National Agroecological University, 7, Stary Blvd, Zhytomyr, 10008, Ukraine;2, 79E+17;originally correct
;Zhytomyr National Agroecological University, 7, Stary Blvd, Zhytomyr, 10008, Ukraine;Zhytomyr National Agroecological University, Stary Boulevard, 7, Zhytomyr, 10008, Ukraine;7, 01E+18;originally correct
;Zhytomyr National Agroecological University, 7, Stary Blvd, Zhytomyr, 10008, Ukraine;Department of Geodesy and Land Survey, Zhytomyr National Agroecological University, Ukraine;-7,71E+18;changed 1st dep by 2nd uni
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, 103 Chudnivska Str., Zhytomyr, 10003, Ukraine;-9,01E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, 103 Chudnivska Str., Zhytomyr, 10005, Ukraine;7, 86E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, 103 Chudnivsyka Str., Zhytomyr, 10005, Ukraine;-9,12E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, 103, Chudnivska str., Zhytomyr, 10005, Ukraine;-3,62E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, 103, Chydnivska srt., Zhytomyr, 10005, Ukraine;-2,94E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, 1303 Chudnivsyka Str., Zhytomyr, 10005, Ukraine;2, 63E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, Chudnivska 103, Zhytomyr, 10005, Ukraine;7, 11E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, Department of Automation and Computer-Integrated Technologies, Zhytomyr, Ukraine;-5,45E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, Department of Computer Engineering and Cybersecurity, 103 Chudnivska Str, Zhytomyr, 10005, Ukraine;5, 04E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, Department of Computer Science, 103 Chudnivska Str, Zhytomyr, 10005, Ukraine;6, 96E+18;originally correct
;Zhytomyr Polytechnic State University, Zhytomyr, Ukraine;Zhytomyr Polytechnic State University, Department of Software Engineering, 103 Chudnivska Str, Zhytomyr, 10005, Ukraine;6, 53E+18;originally correct
